,term,N,N_ordered,N_not_ordered,N_made,N_not_made,N_assayed,N_not_assayed,N_crystallised,N_not_crystallised,freq_ordered (of total),freq_made (of total),freq_assayed (of total),freq_crystallised (of total),freq_made (of ordered),freq_assayed (of made),freq_crystallised (of made),fisher_p_ordered,χ2_p_ordered,fisher_p_made,χ2_p_made,fisher_p_assayed,χ2_p_assayed,fisher_p_crystallised,χ2_p_crystallised,log2_freq_ordered (of total),log2_freq_made (of total),log2_freq_assayed (of total),log2_freq_crystallised (of total),log2_freq_made (of ordered),log2_freq_assayed (of made),log2_freq_crystallised (of made)
2610,ser,4430,128.0,4302.0,88.0,4342.0,67.0,4363.0,8.0,4422.0,0.0289,0.0199,0.0151,0.0018,0.6875,0.7614,0.0909,3.1693031781370174e-77,0.0,8.019294458220526e-62,0.0,3.065130366347106e-72,0.0,4.445847271806811e-19,0.0,-2.0741877702130496,-2.1755526849707985,-2.5462301062324415,-3.2309544348398718,-0.10304283945902748,-0.365598566544339,-1.0529774764809894
1194,library,3301,92.0,3209.0,87.0,3214.0,87.0,3214.0,18.0,3283.0,0.0279,0.0264,0.0264,0.0055,0.9457,1.0,0.2069,2.6741263987299098e-62,0.0,8.860513313770169e-38,0.0,2.0145953750032984e-36,0.0,1.1351567537321085e-07,0.0,-2.1249921408845407,-1.7677831861559938,-1.7402407261990671,-1.6195197227575246,0.3569800437375146,0.027674958442848226,0.13360396918491302
463,known,1098,29.0,1069.0,27.0,1071.0,27.0,1071.0,0.0,1098.0,0.0264,0.0246,0.0246,0.0,0.931,1.0,0.0,1.481030675216568e-24,0.0,1.398008533473906e-15,0.0,3.736142376428908e-15,0.0,3.244033578723753e-08,0.0,-2.204719333355275,-1.8696628001752074,-1.8421203402182809,-inf,0.3343786148003819,0.027674958442848226,-inf
84,interact,4474,115.0,4359.0,82.0,4392.0,81.0,4393.0,20.0,4454.0,0.0257,0.0183,0.0181,0.0045,0.713,0.9878,0.2439,2.5439689388200679e-85,0.0,2.855498851181724e-66,0.0,9.219141884131029e-65,0.0,1.0498556962302014e-11,0.0,-2.24348890351985,-2.296477467230405,-2.284788958474315,-1.9090263399525094,-0.050500476314523673,0.009965832271843042,0.37096008212108744
623,predicted,1893,48.0,1845.0,44.0,1849.0,44.0,1849.0,5.0,1888.0,0.0254,0.0232,0.0232,0.0026,0.9167,1.0,0.1136,4.619783288267621e-41,0.0,1.7414430677396822e-26,0.0,1.4156628015738262e-25,0.0,3.123548043823483e-08,0.0,-2.2604287659415627,-1.9541963103868754,-1.9266538504299486,-2.700439718141092,0.3120471205038418,0.027674958442848226,-0.7313668411704145
141,interaction,4290,104.0,4186.0,77.0,4213.0,76.0,4214.0,19.0,4271.0,0.0242,0.0179,0.0177,0.0044,0.7404,0.987,0.2468,5.579838192398354e-86,0.0,5.909454999072725e-65,0.0,1.966221881174425e-63,0.0,2.4839022327248114e-11,0.0,-2.330250215439134,-2.328361528250191,-2.3170292954745233,-1.9414478176448868,0.003902342224799793,0.008796948237158993,0.38801271847432134
80,non,4039,95.0,3944.0,61.0,3978.0,61.0,3978.0,3.0,4036.0,0.0235,0.0151,0.0151,0.0007,0.6421,1.0,0.0492,1.3183620899651211e-83,0.0,5.38331431287006e-69,0.0,5.160060335284727e-67,0.0,4.2527184864385135e-22,0.0,-2.372596506148729,-2.5737725661893682,-2.5462301062324415,-4.59352451422458,-0.20160455428203877,0.027674958442848226,-1.9385994553358568
3706,pharma,3206,72.0,3134.0,59.0,3147.0,59.0,3147.0,4.0,3202.0,0.0225,0.0184,0.0184,0.0012,0.8194,1.0,0.0678,9.301908647066078e-71,0.0,5.181937314015204e-50,0.0,1.674897567631695e-48,0.0,3.1513970772144547e-16,0.0,-2.4353322614966912,-2.288615349457434,-2.261072889500508,-3.8159169355610283,0.15016533983452698,0.027674958442848226,-1.4759724975387525
4121,pharm,3210,72.0,3138.0,59.0,3151.0,59.0,3151.0,4.0,3206.0,0.0224,0.0184,0.0184,0.0012,0.8194,1.0,0.0678,5.9326979244391405e-71,0.0,3.430718381195341e-50,0.0,1.1300427491510737e-48,0.0,1.9022865986173507e-16,0.0,-2.441758530656124,-2.288615349457434,-2.261072889500508,-3.8159169355610283,0.15016533983452698,0.027674958442848226,-1.4759724975387525
148,pharmacophore,3120,70.0,3050.0,57.0,3063.0,57.0,3063.0,4.0,3116.0,0.0224,0.0183,0.0183,0.0013,0.8143,1.0,0.0702,3.4221637212364083e-69,0.0,3.483139684031384e-49,0.0,1.1325584775588886e-47,0.0,8.020385229445391e-16,0.0,-2.441758530656124,-2.296477467230405,-2.268935007273478,-3.700439718141092,0.1411578493407456,0.027674958442848226,-1.4257867403705358
